macro_frame,sim_time,gripper_state,grip_count,cloth_max_speed_mps,cloth_mean_speed_mps,cloth_com_x,cloth_com_y,cloth_com_z
0,0.000000,Open,0,0.199953,0.199896,0.00003933,0.30997816,0.00004169
1,0.020000,Open,0,0.002666,0.000635,0.00003922,0.30799887,0.00004158
2,0.040000,Open,0,0.002598,0.000392,0.00003904,0.30799887,0.00004163
3,0.060000,Open,0,0.001243,0.000280,0.00003888,0.30799887,0.00004162
4,0.080000,Open,0,0.001088,0.000210,0.00003878,0.30799887,0.00004150
5,0.100000,Open,0,0.000770,0.000188,0.00003874,0.30799887,0.00004154
6,0.120000,Open,0,0.000811,0.000154,0.00003861,0.30799887,0.00004142
7,0.140000,Open,0,0.000728,0.000126,0.00003839,0.30799887,0.00004124
8,0.160000,Open,0,0.000709,0.000115,0.00003815,0.30799887,0.00004119
9,0.180000,Open,0,0.000668,0.000116,0.00003786,0.30799887,0.00004130
10,0.200000,Open,0,0.000305,0.000092,0.00003757,0.30799887,0.00004160
11,0.220000,Open,0,0.000346,0.000092,0.00003731,0.30799887,0.00004137
12,0.240000,Open,0,0.000516,0.000093,0.00003716,0.30799887,0.00004178
13,0.260000,Open,0,0.000287,0.000070,0.00003723,0.30799887,0.00004185
14,0.280000,Open,0,0.000320,0.000075,0.00003735,0.30799887,0.00004235
15,0.300000,Open,0,0.000430,0.000088,0.00003774,0.30799887,0.00004307
16,0.320000,Open,0,0.000430,0.000086,0.00003846,0.30799887,0.00004391
17,0.340000,Open,0,0.000193,0.000076,0.00003936,0.30799887,0.00004467
18,0.360000,Open,0,0.000257,0.000076,0.00004024,0.30799887,0.00004535
19,0.380000,Open,0,0.000253,0.000075,0.00004108,0.30799887,0.00004590
20,0.400000,Open,0,0.000245,0.000075,0.00004192,0.30799887,0.00004656
21,0.420000,Open,0,0.000240,0.000069,0.00004263,0.30799887,0.00004711
22,0.440000,Open,0,0.000208,0.000074,0.00004328,0.30799887,0.00004757
23,0.460000,Open,0,0.000238,0.000071,0.00004384,0.30799887,0.00004830
24,0.480000,Open,0,0.000305,0.000072,0.00004432,0.30799887,0.00004952
25,0.500000,Open,0,0.000324,0.000071,0.00004469,0.30799887,0.00004992
26,0.520000,Open,0,0.000291,0.000069,0.00004501,0.30799887,0.00005003
27,0.540000,Open,0,0.000191,0.000059,0.00004534,0.30799887,0.00005003
28,0.560000,Open,0,0.000203,0.000061,0.00004563,0.30799887,0.00005022
29,0.580000,Open,0,0.000235,0.000061,0.00004592,0.30799887,0.00005056
30,0.600000,Open,0,0.000194,0.000058,0.00004603,0.30799887,0.00005114
31,0.620000,Open,0,0.000197,0.000064,0.00004609,0.30799887,0.00005174
32,0.640000,Open,0,0.000194,0.000065,0.00004620,0.30799887,0.00005222
33,0.660000,Open,0,0.000186,0.000052,0.00004630,0.30799887,0.00005260
34,0.680000,Open,0,0.000213,0.000057,0.00004649,0.30799887,0.00005279
35,0.700000,Open,0,0.000305,0.000059,0.00004692,0.30799887,0.00005289
36,0.720000,Open,0,0.000238,0.000059,0.00004753,0.30799887,0.00005288
37,0.740000,Open,0,0.000267,0.000071,0.00004824,0.30799887,0.00005329
38,0.760000,Open,0,0.000267,0.000075,0.00004901,0.30799887,0.00005381
39,0.780000,Open,0,0.000192,0.000072,0.00004986,0.30799887,0.00005412
40,0.800000,Open,0,0.000238,0.000066,0.00005073,0.30799887,0.00005420
